model_name,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning,tot_time
Reinforce_100_b0_hS_rs42_250528_23-48-57,0,S,100,,0,0.99,0.001,64,75,42,[np.float64(12.971176556385156)],[np.float64(1.8640813160115919)],[np.float64(3.7281626320231847)],[0.007197856903076172],[np.float64(0.0028545411427815756)],[0.005709082285563152],0.5477969646453857
Reinforce_100_b0_hS_rs42_250528_23-50-02,0,S,100,,0,0.99,0.001,64,75,42,[np.float64(12.971176556385156)],[np.float64(1.8640813160115919)],[np.float64(3.7281626320231847)],[0.00842595100402832],[np.float64(0.0035107994079589845)],[0.007021598815917966],0.673093318939209
Reinforce_100_b100_hS_rs42_250528_23-50-02,0,S,100,,100,0.99,0.001,64,75,42,[np.float64(9.451880411972564)],[np.float64(7.010564837243589)],[np.float64(14.021129674487176)],[0.022516727447509766],[np.float64(0.005759936968485514)],[0.01151987393697103],1.1877446174621582
Reinforce_100_b250_hS_rs42_250528_23-50-03,0,S,100,,250,0.99,0.001,64,75,42,[np.float64(5.623177909402488)],[np.float64(4.714179449324146)],[np.float64(9.42835889864829)],[0.004372596740722656],[np.float64(0.0035147492090861)],[0.007029498418172202],0.7134687900543213
Reinforce_100_b0_hS_rs35_250528_23-50-04,0,S,100,,0,0.99,0.001,64,75,35,[np.float64(14.52552455948101)],[np.float64(3.817939823103213)],[np.float64(7.635879646206428)],[0.013810873031616211],[np.float64(0.00651580015818278)],[0.013031600316365565],1.3343110084533691
Reinforce_100_b100_hS_rs35_250528_23-50-06,0,S,100,,100,0.99,0.001,64,75,35,[np.float64(6.655900815624408)],[np.float64(2.4201635314305205)],[np.float64(4.840327062861038)],[0.014050722122192383],[np.float64(0.006263769467671712)],[0.012527538935343425],1.1745789051055908
Reinforce_100_b250_hS_rs35_250528_23-50-07,0,S,100,,250,0.99,0.001,64,75,35,[np.float64(3.044035781374548)],[np.float64(3.2105903994676557)],[np.float64(6.421180798935309)],[0.017465829849243164],[np.float64(0.00634275754292806)],[0.012685515085856117],1.3263278007507324
Reinforce_100_b0_hS_rs254_250528_23-50-08,0,S,100,,0,0.99,0.001,64,75,254,[np.float64(8.871154588976434)],[np.float64(3.3492882092597247)],[np.float64(6.69857641851945)],[0.0075948238372802734],[np.float64(0.003522542317708333)],[0.007045084635416663],0.6899840831756592
Reinforce_100_b100_hS_rs254_250528_23-50-09,0,S,100,,100,0.99,0.001,64,75,254,[np.float64(10.164786646725576)],[np.float64(3.5332318101102054)],[np.float64(7.066463620220408)],[0.0053653717041015625],[np.float64(0.002932453155517578)],[0.005864906311035155],0.6121864318847656
Reinforce_100_b250_hS_rs254_250528_23-50-09,0,S,100,,250,0.99,0.001,64,75,254,[np.float64(10.165690544788019)],[np.float64(3.5335691023737326)],[np.float64(7.0671382047474625)],[0.00872039794921875],[np.float64(0.0029678583145141602)],[0.005935716629028318],0.6375730037689209
Reinforce_100_b0_hS_rs78_250528_23-50-10,0,S,100,,0,0.99,0.001,64,75,78,[np.float64(0.21036550683680777)],[np.float64(0.6724106168143796)],[np.float64(1.3448212336287595)],[0.004716634750366211],[np.float64(0.0024768622716267903)],[0.004953724543253583],0.47417783737182617
Reinforce_100_b100_hS_rs78_250528_23-50-10,0,S,100,,100,0.99,0.001,64,75,78,[np.float64(0.7831058196396105)],[np.float64(1.0890826031269083)],[np.float64(2.1781652062538184)],[0.004791259765625],[np.float64(0.002348461151123047)],[0.004696922302246092],0.4656791687011719
Reinforce_100_b250_hS_rs78_250528_23-50-11,0,S,100,,250,0.99,0.001,64,75,78,[np.float64(0.8476742572755089)],[np.float64(1.120399322525013)],[np.float64(2.2407986450500266)],[0.003801107406616211],[np.float64(0.002337342898050944)],[0.004674685796101889],0.4867124557495117
Reinforce_100_b0_hS_rs91_250528_23-50-11,0,S,100,,0,0.99,0.001,64,75,91,[np.float64(-4.115671771555503)],[np.float64(-2.034756382525409)],[np.float64(-4.069512765050817)],[0.012833118438720703],[np.float64(0.012402065594991048)],[0.024804131189982093],2.5657732486724854
Reinforce_100_b100_hS_rs91_250528_23-50-14,0,S,100,,100,0.99,0.001,64,75,91,[np.float64(-7.10637648465875)],[np.float64(-2.759629231337519)],[np.float64(-5.5192584626750385)],[0.008646011352539062],[np.float64(0.00966631253560384)],[0.019332625071207685],1.8447456359863281
Reinforce_100_b250_hS_rs91_250528_23-50-16,0,S,100,,250,0.99,0.001,64,75,91,[np.float64(-5.930600226057309)],[np.float64(-2.6531609800739493)],[np.float64(-5.306321960147901)],[0.013328075408935547],[np.float64(0.013028737703959146)],[0.026057475407918296],2.704890012741089
Reinforce_100_b0_hS_rs53_250528_23-50-19,0,S,100,,0,0.99,0.001,64,75,53,[np.float64(7.309008575490219)],[np.float64(2.7577914825664016)],[np.float64(5.515582965132803)],[0.006264686584472656],[np.float64(0.004970900217692057)],[0.009941800435384115],0.9371328353881836
Reinforce_100_b100_hS_rs53_250528_23-50-20,0,S,100,,100,0.99,0.001,64,75,53,[np.float64(2.309718820644302)],[np.float64(2.3339828487164516)],[np.float64(4.667965697432907)],[0.004937887191772461],[np.float64(0.0033248011271158856)],[0.0066496022542317694],0.6666982173919678
Reinforce_100_b250_hS_rs53_250528_23-50-20,0,S,100,,250,0.99,0.001,64,75,53,[np.float64(3.557274102040629)],[np.float64(2.782995025517879)],[np.float64(5.565990051035755)],[0.006754636764526367],[np.float64(0.003342086474100749)],[0.006684172948201499],0.6954925060272217
Reinforce_100_b0_hS_rs22_250528_23-50-21,0,S,100,,0,0.99,0.001,64,75,22,[np.float64(-0.0854643471992278)],[np.float64(-0.3003481835360477)],[np.float64(-0.6006963670720954)],[0.003916740417480469],[np.float64(0.0021663188934326174)],[0.004332637786865234],0.45647525787353516
Reinforce_100_b100_hS_rs22_250528_23-50-21,0,S,100,,100,0.99,0.001,64,75,22,[np.float64(-0.9562939386804692)],[np.float64(-0.538305431072038)],[np.float64(-1.0766108621440766)],[0.007972955703735352],[np.float64(0.0025826120376586915)],[0.005165224075317384],0.5278868675231934
Reinforce_100_b250_hS_rs22_250528_23-50-22,0,S,100,,250,0.99,0.001,64,75,22,[np.float64(-0.9453128868822331)],[np.float64(-0.5381516489246285)],[np.float64(-1.0763032978492568)],[0.005791664123535156],[np.float64(0.002990055084228516)],[0.00598011016845703],0.5412588119506836
Reinforce_100_b0_hS_rs341_250528_23-50-22,0,S,100,,0,0.99,0.001,64,75,341,[np.float64(2.0747966967172493)],[np.float64(1.0314847273140493)],[np.float64(2.0629694546280994)],[0.004275798797607422],[np.float64(0.0025431299209594726)],[0.005086259841918946],0.5556545257568359
Reinforce_100_b100_hS_rs341_250528_23-50-23,0,S,100,,100,0.99,0.001,64,75,341,[np.float64(3.5764631763616044)],[np.float64(2.2195510146295434)],[np.float64(4.439102029259083)],[0.004839181900024414],[np.float64(0.0030797195434570314)],[0.00615943908691406],0.6240115165710449
Reinforce_100_b250_hS_rs341_250528_23-50-24,0,S,100,,250,0.99,0.001,64,75,341,[np.float64(4.096818346564073)],[np.float64(2.3126004271922453)],[np.float64(4.6252008543844925)],[0.0047490596771240234],[np.float64(0.003393732706705729)],[0.0067874654134114564],0.6775388717651367
Reinforce_100_b0_hS_rs117_250528_23-50-24,0,S,100,,0,0.99,0.001,64,75,117,[np.float64(4.661295922309491)],[np.float64(4.618602720576106)],[np.float64(9.23720544115221)],[0.005873918533325195],[np.float64(0.003877406120300293)],[0.007754812240600585],0.8431768417358398
Reinforce_100_b100_hS_rs117_250528_23-50-25,0,S,100,,100,0.99,0.001,64,75,117,[np.float64(10.630803024749245)],[np.float64(4.32955570632178)],[np.float64(8.659111412643561)],[0.008190631866455078],[np.float64(0.004108761151631673)],[0.008217522303263352],0.7997152805328369
Reinforce_100_b250_hS_rs117_250528_23-50-26,0,S,100,,250,0.99,0.001,64,75,117,[np.float64(1.8182446254550133)],[np.float64(3.931999910316944)],[np.float64(7.863999820633893)],[0.004731893539428711],[np.float64(0.0040179761250813805)],[0.008035952250162754],0.7705566883087158
Reinforce_100_b0_hS_rs86_250528_23-50-27,0,S,100,,0,0.99,0.001,64,75,86,[np.float64(4.260375946859559)],[np.float64(2.166481020651654)],[np.float64(4.332962041303303)],[0.003908395767211914],[np.float64(0.003052067756652832)],[0.006104135513305662],0.5719742774963379
Reinforce_100_b100_hS_rs86_250528_23-50-27,0,S,100,,100,0.99,0.001,64,75,86,[np.float64(4.03967937109814)],[np.float64(2.550911302056048)],[np.float64(5.101822604112094)],[0.0038340091705322266],[np.float64(0.0035500351587931314)],[0.007100070317586265],0.6786458492279053
Reinforce_100_b250_hS_rs86_250528_23-50-28,0,S,100,,250,0.99,0.001,64,75,86,[np.float64(3.928693081975947)],[np.float64(2.1676905146300878)],[np.float64(4.335381029260174)],[0.003419637680053711],[np.float64(0.0023461182912190757)],[0.0046922365824381505],0.5144824981689453
Reinforce_100_b0_hS_rs42_250528_23-53-56,0,S,100,,0,0.99,0.001,64,75,42,[np.float64(12.971176556385156)],[np.float64(1.8640813160115919)],[np.float64(3.7281626320231847)],[0.007567405700683594],[np.float64(0.0027564652760823567)],[0.005512930552164715],0.5569562911987305
Reinforce_100_b100_hS_rs42_250528_23-53-56,0,S,100,,100,0.99,0.001,64,75,42,[np.float64(9.451880411972564)],[np.float64(7.010564837243589)],[np.float64(14.021129674487176)],[0.009197473526000977],[np.float64(0.005499558448791504)],[0.010999116897583011],1.0854291915893555
Reinforce_100_b250_hS_rs42_250528_23-53-57,0,S,100,,250,0.99,0.001,64,75,42,[np.float64(5.623177909402488)],[np.float64(4.714179449324146)],[np.float64(9.42835889864829)],[0.005433082580566406],[np.float64(0.004495250384012858)],[0.008990500768025718],0.8862400054931641
Reinforce_100_b0_hS_rs35_250528_23-53-58,0,S,100,,0,0.99,0.001,64,75,35,[np.float64(14.52552455948101)],[np.float64(3.817939823103213)],[np.float64(7.635879646206428)],[0.017761707305908203],[np.float64(0.00739867369333903)],[0.014797347386678057],1.6353859901428223
Reinforce_100_b100_hS_rs35_250528_23-54-00,0,S,100,,100,0.99,0.001,64,75,35,[np.float64(6.655900815624408)],[np.float64(2.4201635314305205)],[np.float64(4.840327062861038)],[0.01041865348815918],[np.float64(0.006297958691914876)],[0.012595917383829747],1.1734564304351807
Reinforce_100_b250_hS_rs35_250528_23-54-01,0,S,100,,250,0.99,0.001,64,75,35,[np.float64(3.044035781374548)],[np.float64(3.2105903994676557)],[np.float64(6.421180798935309)],[0.017193078994750977],[np.float64(0.00803638776143392)],[0.016072775522867837],1.6982011795043945
Reinforce_100_b0_hS_rs254_250528_23-54-03,0,S,100,,0,0.99,0.001,64,75,254,[np.float64(8.871154588976434)],[np.float64(3.3492882092597247)],[np.float64(6.69857641851945)],[0.005416154861450195],[np.float64(0.003270729382832845)],[0.00654145876566569],0.6430032253265381
Reinforce_100_b100_hS_rs254_250528_23-54-04,0,S,100,,100,0.99,0.001,64,75,254,[np.float64(10.164786646725576)],[np.float64(3.5332318101102054)],[np.float64(7.066463620220408)],[0.0060803890228271484],[np.float64(0.0035482994715372723)],[0.007096598943074542],0.6995453834533691
Reinforce_100_b250_hS_rs254_250528_23-54-04,0,S,100,,250,0.99,0.001,64,75,254,[np.float64(10.165690544788019)],[np.float64(3.5335691023737326)],[np.float64(7.0671382047474625)],[0.005141735076904297],[np.float64(0.0030974070231119793)],[0.006194814046223953],0.6253666877746582
Reinforce_100_b0_hS_rs78_250528_23-54-05,0,S,100,,0,0.99,0.001,64,75,78,[np.float64(0.21036550683680777)],[np.float64(0.6724106168143796)],[np.float64(1.3448212336287595)],[0.004179716110229492],[np.float64(0.0021199464797973635)],[0.004239892959594727],0.4347653388977051
Reinforce_100_b100_hS_rs78_250528_23-54-05,0,S,100,,100,0.99,0.001,64,75,78,[np.float64(0.7831058196396105)],[np.float64(1.0890826031269083)],[np.float64(2.1781652062538184)],[0.003607511520385742],[np.float64(0.002286122639973958)],[0.0045722452799479155],0.4491896629333496
Reinforce_100_b250_hS_rs78_250528_23-54-06,0,S,100,,250,0.99,0.001,64,75,78,[np.float64(0.8476742572755089)],[np.float64(1.120399322525013)],[np.float64(2.2407986450500266)],[0.0030088424682617188],[np.float64(0.0029291168848673502)],[0.005858233769734703],0.533379077911377
Reinforce_100_b0_hS_rs91_250528_23-54-06,0,S,100,,0,0.99,0.001,64,75,91,[np.float64(-4.115671771555503)],[np.float64(-2.034756382525409)],[np.float64(-4.069512765050817)],[0.012914896011352539],[np.float64(0.013708232243855794)],[0.027416464487711588],2.6432740688323975
Reinforce_100_b100_hS_rs91_250528_23-54-09,0,S,100,,100,0.99,0.001,64,75,91,[np.float64(-7.10637648465875)],[np.float64(-2.759629231337519)],[np.float64(-5.5192584626750385)],[0.013645648956298828],[np.float64(0.010148320198059082)],[0.02029664039611815],2.084031105041504
Reinforce_100_b250_hS_rs91_250528_23-54-11,0,S,100,,250,0.99,0.001,64,75,91,[np.float64(-5.930600226057309)],[np.float64(-2.6531609800739493)],[np.float64(-5.306321960147901)],[0.013143062591552734],[np.float64(0.010687381426493326)],[0.02137476285298666],2.2422878742218018
Reinforce_100_b0_hS_rs53_250528_23-54-13,0,S,100,,0,0.99,0.001,64,75,53,[np.float64(7.309008575490219)],[np.float64(2.7577914825664016)],[np.float64(5.515582965132803)],[0.006206989288330078],[np.float64(0.003454318046569824)],[0.006908636093139647],0.7064449787139893
Reinforce_100_b100_hS_rs53_250528_23-54-14,0,S,100,,100,0.99,0.001,64,75,53,[np.float64(2.309718820644302)],[np.float64(2.3339828487164516)],[np.float64(4.667965697432907)],[0.0046155452728271484],[np.float64(0.003909379641215007)],[0.007818759282430013],0.7590000629425049
Reinforce_100_b250_hS_rs53_250528_23-54-15,0,S,100,,250,0.99,0.001,64,75,53,[np.float64(3.557274102040629)],[np.float64(2.782995025517879)],[np.float64(5.565990051035755)],[0.012400388717651367],[np.float64(0.004938866297403971)],[0.009877732594807944],0.9422438144683838
Reinforce_100_b0_hS_rs22_250528_23-54-16,0,S,100,,0,0.99,0.001,64,75,22,[np.float64(-0.0854643471992278)],[np.float64(-0.3003481835360477)],[np.float64(-0.6006963670720954)],[0.0038909912109375],[np.float64(0.0020566685994466145)],[0.004113337198893229],0.4612598419189453
Reinforce_100_b100_hS_rs22_250528_23-54-16,0,S,100,,100,0.99,0.001,64,75,22,[np.float64(-0.9562939386804692)],[np.float64(-0.538305431072038)],[np.float64(-1.0766108621440766)],[0.002921581268310547],[np.float64(0.0023676665623982747)],[0.004735333124796549],0.4546060562133789
Reinforce_100_b250_hS_rs22_250528_23-54-17,0,S,100,,250,0.99,0.001,64,75,22,[np.float64(-0.9453128868822331)],[np.float64(-0.5381516489246285)],[np.float64(-1.0763032978492568)],[0.003292560577392578],[np.float64(0.0019206857681274413)],[0.003841371536254883],0.4076261520385742
Reinforce_100_b0_hS_rs341_250528_23-54-17,0,S,100,,0,0.99,0.001,64,75,341,[np.float64(2.0747966967172493)],[np.float64(1.0314847273140493)],[np.float64(2.0629694546280994)],[0.0033111572265625],[np.float64(0.0022259012858072916)],[0.004451802571614581],0.45714259147644043
Reinforce_100_b100_hS_rs341_250528_23-54-18,0,S,100,,100,0.99,0.001,64,75,341,[np.float64(3.5764631763616044)],[np.float64(2.2195510146295434)],[np.float64(4.439102029259083)],[0.0058672428131103516],[np.float64(0.0027648146947224935)],[0.005529629389444985],0.5747323036193848
Reinforce_100_b250_hS_rs341_250528_23-54-18,0,S,100,,250,0.99,0.001,64,75,341,[np.float64(4.096818346564073)],[np.float64(2.3126004271922453)],[np.float64(4.6252008543844925)],[0.006151914596557617],[np.float64(0.0030545091629028322)],[0.006109018325805661],0.597862720489502
Reinforce_100_b0_hS_rs117_250528_23-54-19,0,S,100,,0,0.99,0.001,64,75,117,[np.float64(4.661295922309491)],[np.float64(4.618602720576106)],[np.float64(9.23720544115221)],[0.00539088249206543],[np.float64(0.004283876419067383)],[0.008567752838134766],0.8450353145599365
Reinforce_100_b100_hS_rs117_250528_23-54-20,0,S,100,,100,0.99,0.001,64,75,117,[np.float64(10.630803024749245)],[np.float64(4.32955570632178)],[np.float64(8.659111412643561)],[0.010173320770263672],[np.float64(0.004758960405985515)],[0.009517920811971026],0.8598666191101074
Reinforce_100_b250_hS_rs117_250528_23-54-21,0,S,100,,250,0.99,0.001,64,75,117,[np.float64(1.8182446254550133)],[np.float64(3.931999910316944)],[np.float64(7.863999820633893)],[0.004748821258544922],[np.float64(0.003798232078552246)],[0.007596464157104491],0.7133691310882568
Reinforce_100_b0_hS_rs86_250528_23-54-21,0,S,100,,0,0.99,0.001,64,75,86,[np.float64(4.260375946859559)],[np.float64(2.166481020651654)],[np.float64(4.332962041303303)],[0.00524592399597168],[np.float64(0.0024035231272379557)],[0.004807046254475911],0.46523451805114746
Reinforce_100_b100_hS_rs86_250528_23-54-22,0,S,100,,100,0.99,0.001,64,75,86,[np.float64(4.03967937109814)],[np.float64(2.550911302056048)],[np.float64(5.101822604112094)],[0.0031588077545166016],[np.float64(0.0027685546875)],[0.0055371093750000025],0.5785436630249023
Reinforce_100_b250_hS_rs86_250528_23-54-22,0,S,100,,250,0.99,0.001,64,75,86,[np.float64(3.928693081975947)],[np.float64(2.1676905146300878)],[np.float64(4.335381029260174)],[0.003204345703125],[np.float64(0.0024555381139119464)],[0.004911076227823889],0.4974179267883301
